IDPLATILLO,PLATILLO,CALORIAS
2073,'Tortillas de harina integral',100.0
943,'Cubitos al romero',100.0
944,'Carne de puerco en adobo',100.0
2075,'Tortillas de harina norteñas',100.0
946,'Ensalada de frutas y hortalizas',100.0
947,'Filete de pescado a la mexicana',100.0
2154,null,100.0
2218,'Melanzana Compota de manzana ',100.0
2234,null,100.0
2235,'Tortillas de avena Savella',100.0
2276,null,100.0
953,'Albóndigas de res rellenas de queso Philadelphia',100.0
954,'Bisteces de puerco en salsa ranchera con papas',100.0
2278,null,100.0
2279,'Camarones a la brava día del padre',100.0
2280,'Costillas de roast beef supremas día del padre',100.0
2281,'Mixiote de polllo con noplaes muslo día del padre',100.0
2282,'Mixiote de polllo con nopales pierna día del padre',100.0
2283,'Mixiote de polllo con nopales pechuga día del padre',100.0
961,'Arroz blanco con plátanos fritos',100.0
2284,'Pastel azteca día del padre',100.0
963,'Pambazos 15 de sep',100.0
964,'Gelatina de fresas con crema',100.0
2311,'Mixiotes de pollo con nopales pierna 15 de sep',100.0
2312,'Mixiotes de pollo con nopales pechuga 15 de sep',100.0
967,'Carne de puerco al albañil',100.0
969,'Carne de puerco poblana',100.0
972,'Pollo volteado',100.0
975,'Pollo con poro y champiñones',100.0
982,'Pollo pibil',100.0
985,'Tortitas de papa con atún',100.0
986,'Sopa tarasca',100.0
988,'Picadillo irlandés',100.0
992,'Empanadas de salchicha con queso',100.0
995,'Lengua de res en salsa mora con habas enzapatadas',100.0
997,'Rajas con elote y queso panela',100.0
999,'Carne de puerco en salsa verde con quintoniles',100.0
1000,'Filete de res al ajillo',100.0
1001,'Verduras de la milpa',100.0
1002,null,100.0
1009,'Cuaresmeños en escabeche',100.0
1010,'Espinosos rellenos de nata',100.0
1011,'Nopales queretanos',100.0
1012,'Fajitas a la francesa',100.0
1013,'Costillas de res estilo Zacatlán',100.0
1015,'Filete de res a la aceituna',100.0
1020,'Kiwi kg',100.0
1022,'Chicharrón en salsa verde',100.0
1024,'Chicharrón en salsa mora con nopales',100.0
1026,'Fabada',100.0
1029,'Arroz blanco con ejote y elote',100.0
1030,'Tortitas de pollo con chícharos en salsa verde',100.0
1034,'Bisteces de puerco en salsa verde con calabacitas',100.0
1036,'Papas Ana',100.0
1039,'Quesadillas de moronga',100.0
1047,'Chuletas huastecas',100.0
1049,'Buñuelos ',100.0
1052,'Crepas de pollo con rajas 10 de mayo',100.0
1053,'Chuletas a la romana navidad',100.0
1054,'null',100.0
1055,'Lasaña de verduras navidad',100.0
1056,'Bocadillos finos de navidad charola grande ',100.0
1058,'Panqué de rompope con nuez',100.0
1059,'Sopa Sofía navidad',100.0
1060,'Crema de elote navidad',100.0
1061,'Chile piquín con ajonjolí kg',100.0
1062,'Bastón navideño',100.0
1063,'Pollo con elote',100.0
1064,'Arroz rojo con papa,100.0
1065,'Costillas de puerco en salsa norteña con papas',100.0
1066,'Arroz blanco con elote y zanahoria',100.0
1067,'Champiñones al chipotle',100.0
1068,null,100.0
1069,'Gelatina de fresas con crema completa',100.0
1070,'Mixiotes de pollo con nopales muslo 15 de sep',100.0
1071,'Pastel navideño',100.0
1072,'Bollo relleno de queso philadelphia navidad',100.0
1073,'Tronco navideño grande',100.0
1074,'Pastel imposible de navidad',100.0
1077,'Arroz blanco de la milpa',100.0
1078,'Bollo sencillo de navidad',100.0
1081,'Fettuccine verde',100.0
1084,'Spaghetti con salchicha,100.0
1087,'Pollo Milán',100.0
1089,'Bisteces de puerco en jitomate con papas y cuaresme?o',100.0
1091,'Calabacitas estilo Coyoacán',100.0
1093,'Chambarete a la catalana',100.0
1094,'Bisteces del Bajío',100.0
1095,'Cubitos sevillanos',100.0
1096,'Brocheta de res ',100.0
1097,'Pechugas a la mayonesa',100.0
1098,'Filete de res campirano',100.0
1099,'Picadillo madrileño',100.0
1100,'Berenjena a la mexicana',100.0
1102,'Sopa de cebolla',100.0
1103,'Pollo mixteco',100.0
1106,'Filete de res potosino',100.0
1107,'Flan completo con fresa ',100.0
1108,'Bisteces de res en jitomate con papas',100.0
1111,'Costillas bravas',100.0
1112,'Macarrón al queso',100.0
1113,'Chipotles rellenos de pollo',100.0
1116,'Albóndigas de res en salsa verde',100.0
1120,'Filete de res en salsa mora con habas enzapatadas',100.0
1121,'Picadillo de soya',100.0
1122,'Crepas de atún con rajas',100.0
1127,'Lentejas con nopales y chorizo',100.0
1130,'Fettuccine valenciano',100.0
1134,'Filete de res a la toscana',100.0
1135,'Mixiotes de pollo con champiñones y nopales',100.0
1137,'Gelatina de zanahoria con arándano y nuez',100.0
1138,'Tortitas de golumbos',100.0
1143,'Costillas a la bbq picante',100.0
